judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64,u_n128,u_n256,u_n512
Phi-3.5-mini-instruct,63dn97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,63ku7q,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,64c0w6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,65458n,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,66uo64,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,68f5c5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,68ykga,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,69dzba,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,6d1iqq,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,6eytds,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,6gl289,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6hoxmq,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6imc4i,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,6isay3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6ixx9u,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,6k8gdu,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6l6v6l,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,6m7z8a,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,6mztko,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6o18uh,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6o679d,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6ohgxv,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,6szrbs,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6tsiyd,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6wgtsx,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6wxzhc,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,6xisxt,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6xngfe,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6xsruw,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,71p51h,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,72l2aj,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,74ih3z,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,765fhd,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,76b9gc,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0
Phi-3.5-mini-instruct,77dd17,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,796161,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7adktz,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7bowjq,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,7d0x9k,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7dcwik,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7e3im5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7en7vl,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,7ezd5t,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7gjj2w,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7h9f8e,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7iltd1,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,7iubwq,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7jfvx7,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7jqj29,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7l7e1m,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7ld0jk,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7lzk5g,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,7q0acw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7rb6uj,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,7rie85,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,7rpy8m,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7svmp5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7tge90,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7u04a5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,7uezw8,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7v8ind,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,80sf6g,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,83mehz,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,849wc3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,87ak6w,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,87tx3g,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,8a18sf,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8aec6t,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8fk0hr,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8gfhh9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,8gs4wp,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,8k4am7,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8myeno,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8o89ko,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0
Phi-3.5-mini-instruct,8p3ora,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,8pr271,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,8tmkfc,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8vr4k2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,8vyqdq,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8x0xa7,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,8x86s0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,8y8wrr,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8z1sq1,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9470fc,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,96myl6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,96xnw9,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,99kk88,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9edjv0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,9f7www,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9g2cbq,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,9ki47u,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9l0dam,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9neuk8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,9qn4tw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,a318ye,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,a3pdwk,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,acjzv0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,afc9c4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,aowr4t,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,ar7nm2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,auig0m,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,b4yx63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,b87jl7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,b9uzz1,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,bhyplf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bk7lic,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,ciifmd,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,ck6twx,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,cpxk2b,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,dqn4sj,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,eu7ub2,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00000_Suthida,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00001_Miguel Ángel Félix Gallardo,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00002_Iggy Azalea,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00003_Fernando da Costa Novaes,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00004_Jan Zamoyski,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00005_Radhika Apte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00006_David Galloway (writer),1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00007_Cheyenne Brando,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00008_Mihai Eminescu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00009_John Atkinson Grimshaw,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00010_Maja Jager,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00011_Richie Dorman,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00012_Braulio Lara,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00013_Katherine Ryan,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00014_Matthew Perry,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00015_Amr Shabana,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00016_Sage Stallone,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00017_Abdulqawi Yusuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00018_Namita Gokhale,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00019_Henryk Wieniawski,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00020_Heinrich Himmler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00021_Jan-Michael Gambill,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00022_Muhammad Al-Hafiz,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,"fact_00023_Tracy Somerset, Duchess of Beaufort",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00024_Josh Mansour,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00025_Carlos P. Romulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00026_Kubota Beisen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00027_Arthur Ewert,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00028_John Morris (curler),1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00029_Matt Hunter (singer),0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00030_Ivan Toms,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00031_Salome Maswime,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00032_Flavio Méndez Santiago,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00033_Lokesh Kanagaraj,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00034_Tappaya Sit-Or,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00035_Ronaldinho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00036_Rana Sanaullah,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00037_Karni Liddell,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00038_Ted Mack (politician),0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00039_Chris Duffield,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00040_Daniil Medvedev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00041_Giorgi Papunashvili,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00042_Nancy Onyango,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00043_Alexander Vovin,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00044_Cobhams Asuquo,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00045_David Bogue,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00046_PewDiePie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00047_Minako Honda,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00048_Don Beard,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00049_Isla Fisher,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00050_Jeremy Northam,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00051_Harry Cave,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00052_Rory Burns,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00053_Andriy Yarmolenko,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00054_Thierry Henry,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00055_Gary Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00056_James Theodore Bent,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00057_Kajal Aggarwal,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00058_Danny Faure,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00059_Vicente Guerrero,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00060_Ilhan Omar,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00061_Nelson Mandela,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00062_Joey Jordison,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00063_Ayman al-Zawahiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00064_Diego Suarez (garden designer),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00065_Muhammad Qutb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00066_Daniel Alexander Cameron,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00067_Ivan Perišić,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00068_Gemma Arterton,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00069_Shin Jea-hwan,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00070_Nuh Omar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00071_Jeremy Corbyn,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00072_Jeff Long (athletic director),0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00073_Jackie Shroff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00074_Sami Shalom Chetrit,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00075_Antonio Leviste,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00076_José Hernández Delgadillo,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
