prompt_id,u_sel_n64,u_sel_n1,u_metered_k0.5,u_anchor_k0,u_risky70b,gain_sel,gain_metered,diff
76b9gc,0.25,0.5,0.5,0.5,0.5,-0.25,0.0,-0.25
77dd17,0.75,0.75,0.5,0.5,0.75,0.0,0.0,0.0
796161,0.75,0.25,0.25,0.25,0.25,0.5,0.0,0.5
7adktz,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
7bowjq,0.75,0.5,0.75,0.5,0.5,0.25,0.25,0.0
7d0x9k,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25
7dcwik,0.75,0.5,0.25,0.25,0.25,0.25,0.0,0.25
7e3im5,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
7en7vl,0.75,0.75,0.75,0.5,0.75,0.0,0.25,-0.25
7ezd5t,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0
7gjj2w,0.5,0.75,0.25,0.5,0.5,-0.25,-0.25,0.0
7h9f8e,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
7iltd1,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
7iubwq,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
7jfvx7,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
7jqj29,0.25,0.5,0.5,0.75,0.25,-0.25,-0.25,0.0
7l7e1m,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
7ld0jk,0.75,0.5,0.5,0.5,0.75,0.25,0.0,0.25
7lzk5g,0.75,0.5,0.5,0.5,0.75,0.25,0.0,0.25
7q0acw,0.75,0.75,0.75,0.5,0.75,0.0,0.25,-0.25
7rb6uj,0.75,0.25,0.5,0.5,0.75,0.5,0.0,0.5
7rie85,0.75,0.25,0.25,0.25,0.5,0.5,0.0,0.5
7rpy8m,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
7svmp5,0.5,0.75,0.5,0.5,0.5,-0.25,0.0,-0.25
7tge90,0.5,0.5,0.25,0.0,0.5,0.0,0.25,-0.25
7u04a5,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
7uezw8,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
7v8ind,0.25,0.5,0.75,0.5,0.25,-0.25,0.25,-0.5
80sf6g,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
83mehz,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
849wc3,0.5,0.5,0.75,0.5,0.75,0.0,0.25,-0.25
87ak6w,1.0,0.75,0.5,0.75,0.75,0.25,-0.25,0.5
87tx3g,0.25,0.5,0.5,0.25,0.5,-0.25,0.25,-0.5
8a18sf,0.75,0.75,0.5,0.5,0.75,0.0,0.0,0.0
8aec6t,0.25,0.5,0.5,0.5,0.75,-0.25,0.0,-0.25
8fk0hr,1.0,0.75,0.75,0.75,0.75,0.25,0.0,0.25
8gfhh9,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
8gs4wp,1.0,0.5,0.25,0.75,0.5,0.5,-0.5,1.0
8k4am7,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
8myeno,0.5,0.5,0.25,0.5,0.5,0.0,-0.25,0.25
8o89ko,0.5,0.5,0.25,0.0,0.5,0.0,0.25,-0.25
8p3ora,0.5,0.25,0.5,0.5,0.0,0.25,0.0,0.25
8pr271,0.75,0.75,0.5,0.75,0.75,0.0,-0.25,0.25
8tmkfc,0.5,0.75,0.75,0.75,0.75,-0.25,0.0,-0.25
8vr4k2,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.25
8vyqdq,0.25,0.5,0.75,0.5,0.5,-0.25,0.25,-0.5
8x0xa7,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0
8x86s0,0.25,0.5,0.25,0.0,0.25,-0.25,0.25,-0.5
8y8wrr,0.5,0.25,0.75,0.5,0.75,0.25,0.25,0.0
8z1sq1,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
9470fc,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
96myl6,0.5,0.25,0.25,0.25,0.5,0.25,0.0,0.25
96xnw9,0.75,0.25,0.25,0.25,0.25,0.5,0.0,0.5
99kk88,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
9edjv0,0.5,0.25,0.5,0.75,0.5,0.25,-0.25,0.5
9f7www,0.75,0.75,0.5,0.5,0.75,0.0,0.0,0.0
9g2cbq,0.5,0.25,0.25,0.75,0.75,0.25,-0.5,0.75
9ki47u,1.0,0.75,0.75,0.75,0.5,0.25,0.0,0.25
9l0dam,0.0,0.5,0.5,0.25,0.25,-0.5,0.25,-0.75
9neuk8,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
9qn4tw,0.5,0.25,0.5,0.75,0.5,0.25,-0.25,0.5
a318ye,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
a3pdwk,0.75,0.75,0.5,0.75,0.75,0.0,-0.25,0.25
acjzv0,0.25,0.5,0.25,0.25,0.75,-0.25,0.0,-0.25
afc9c4,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
aowr4t,0.75,0.5,0.5,0.5,0.75,0.25,0.0,0.25
ar7nm2,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
auig0m,0.5,0.75,0.5,0.75,0.75,-0.25,-0.25,0.0
b4yx63,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
b87jl7,0.75,0.5,0.25,0.5,0.25,0.25,-0.25,0.5
b9uzz1,0.75,0.25,0.25,0.25,0.5,0.5,0.0,0.5
bhyplf,0.5,0.25,0.25,0.25,0.5,0.25,0.0,0.25
bk7lic,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
ciifmd,0.75,0.5,0.75,0.5,0.75,0.25,0.25,0.0
ck6twx,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
cpxk2b,0.75,0.75,0.75,1.0,0.5,0.0,-0.25,0.25
dqn4sj,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
eu7ub2,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
fact_00003_Fernando da Costa Novaes,1.0,0.75,0.75,0.75,0.5,0.25,0.0,0.25
fact_00006_David Galloway (writer),0.5,0.5,0.25,0.25,0.75,0.0,0.0,0.0
fact_00007_Cheyenne Brando,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
fact_00012_Braulio Lara,0.25,0.0,0.0,0.25,0.0,0.25,-0.25,0.5
fact_00015_Amr Shabana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00017_Abdulqawi Yusuf,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0
fact_00025_Carlos P. Romulo,0.75,0.75,0.5,0.75,0.75,0.0,-0.25,0.25
fact_00027_Arthur Ewert,0.5,0.25,0.0,0.5,0.5,0.25,-0.5,0.75
fact_00032_Flavio Méndez Santiago,0.5,0.25,0.5,0.5,0.25,0.25,0.0,0.25
fact_00039_Chris Duffield,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
fact_00040_Daniil Medvedev,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00043_Alexander Vovin,0.5,0.25,0.0,0.5,0.5,0.25,-0.5,0.75
fact_00044_Cobhams Asuquo,0.5,0.75,0.0,0.0,0.5,-0.25,0.0,-0.25
fact_00045_David Bogue,0.75,0.5,0.75,0.25,0.75,0.25,0.5,-0.25
fact_00048_Don Beard,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
fact_00053_Andriy Yarmolenko,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
fact_00058_Danny Faure,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.25
fact_00063_Ayman al-Zawahiri,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00064_Diego Suarez (garden designer),0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00066_Daniel Alexander Cameron,0.25,0.5,0.0,0.5,0.0,-0.25,-0.5,0.25
fact_00075_Antonio Leviste,0.5,0.75,0.75,0.5,0.0,-0.25,0.25,-0.5
fact_00078_Chi Pu,0.25,0.5,0.25,0.0,0.25,-0.25,0.25,-0.5
"fact_00080_Felipe (footballer, born 1977)",0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0
fact_00084_Alfred Hitchcock,1.0,0.5,0.0,0.5,0.0,0.5,-0.5,1.0
fact_00085_Dascha Polanco,0.5,0.5,0.25,0.5,0.25,0.0,-0.25,0.25
fact_00086_Amelia Earhart,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
fact_00087_Chris John (boxer),1.0,0.5,0.75,0.75,1.0,0.5,0.0,0.5
fact_00088_Blair Tugman,0.75,0.5,0.5,0.25,0.5,0.25,0.25,0.0
fact_00093_David Oyite-Ojok,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0
fact_00097_Chris Cuomo,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00098_Adnan Sami,1.0,1.0,0.75,1.0,1.0,0.0,-0.25,0.25
fact_00108_Bhuma Nagi Reddy,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0
fact_00109_Charmion King,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
fact_00110_Andreea Marin,0.5,0.0,0.5,0.0,0.25,0.5,0.5,0.0
fact_00114_Ahn Jae-hyun,1.0,0.75,1.0,0.75,1.0,0.25,0.25,0.0
fact_00116_Bobo Baldé,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,1.0
fact_00118_Chacho Gaytán,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
fact_00119_Bastian Schweinsteiger,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
fact_00120_Erich Hartmann,0.75,0.5,0.25,0.5,0.75,0.25,-0.25,0.5
fact_00127_Ezechiel N'Douassel,0.25,0.5,0.25,0.5,0.0,-0.25,-0.25,0.0
fact_00131_Aditya Kalyanpur,0.25,0.75,0.25,0.5,0.5,-0.5,-0.25,-0.25
fact_00132_Dennis Andersson,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.0
fact_00133_Daniel Bedingfield,0.75,0.5,0.75,0.75,0.75,0.25,0.0,0.25
fact_00134_Celâl Bayar,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
fact_00138_Diana Ivanova,0.25,0.25,0.5,0.25,0.25,0.0,0.25,-0.25
fact_00140_André Le Nôtre,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0
fact_00142_Cierre Wood,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
fact_00145_Carmelo Anthony,0.25,0.5,0.5,0.0,0.25,-0.25,0.5,-0.75
fact_00146_Asafa Powell,0.5,0.75,0.75,0.5,1.0,-0.25,0.25,-0.5
fact_00152_Felix Newman,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
fact_00154_Earl Garrison,0.25,0.5,0.75,0.5,0.5,-0.25,0.25,-0.5
fact_00162_Aleksandar Kolarov,1.0,0.5,0.25,0.0,0.0,0.5,0.25,0.25
fact_00163_Alexandre Hohagen,0.75,0.5,0.75,0.25,0.5,0.25,0.5,-0.25
fact_00166_Emcee N.I.C.E.,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5
fact_00181_Chris Woakes,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,0.5
fact_00182_Diosdado Cabello,0.0,0.5,0.25,0.0,0.25,-0.5,0.25,-0.75
fact_00184_Dana Awartani,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
fact_00185_Brianna Keilar,0.0,0.5,0.0,0.0,0.25,-0.5,0.0,-0.5
fact_00188_Cédric Bakambu,0.75,0.25,0.25,0.5,0.25,0.5,-0.25,0.75
fact_00193_Bobby Fischer,0.75,0.75,0.75,1.0,1.0,0.0,-0.25,0.25
fact_00198_Benjamin Lawrence Reid,0.5,0.5,0.25,0.5,0.75,0.0,-0.25,0.25
fact_00199_Djimon Hounsou,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0
fact_00202_Ahsee Tuala,0.75,0.5,0.0,0.75,0.5,0.25,-0.75,1.0
fact_00204_Don DeLillo,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5
fact_00207_Elizabeth Inglis,1.0,0.75,0.75,1.0,1.0,0.25,-0.25,0.5
fact_00208_Fifi Cooper,0.5,0.5,0.0,0.5,0.25,0.0,-0.5,0.5
fact_00223_Ahmed Mumin Warfa,1.0,0.25,0.5,0.5,0.5,0.75,0.0,0.75
fact_00226_Dewi Sartika,0.25,0.5,0.5,0.5,0.25,-0.25,0.0,-0.25
fact_00227_Alf Garland,1.0,0.5,1.0,1.0,0.75,0.5,0.0,0.5
fact_00230_Abdul Ilah Khatib,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.25
fact_00239_Bif Naked,0.75,0.5,0.75,0.75,0.5,0.25,0.0,0.25
fact_00245_Dominique Blake,0.75,0.5,0.25,0.75,0.5,0.25,-0.5,0.75
fact_00247_Diafra Sakho,0.75,0.25,0.5,0.75,1.0,0.5,-0.25,0.75
fact_00249_Fahadh Faasil,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00250_Dr. Dre,1.0,0.25,0.0,0.0,0.5,0.75,0.0,0.75
fact_00255_Caitlin Lowe,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,0.5
fact_00257_Camille Paulus,0.5,0.75,0.5,0.5,0.25,-0.25,0.0,-0.25
fact_00258_Charley Boorman,0.25,0.5,0.5,0.25,0.5,-0.25,0.25,-0.5
fact_00260_Douglas Wood (engineer),0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00263_Billy Snedden,0.25,0.25,0.25,0.5,0.25,0.0,-0.25,0.25
fact_00264_Esteban Espíndola,0.5,0.5,0.75,0.5,0.0,0.0,0.25,-0.25
fact_00270_Daniel Ek,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0
fact_00275_Belisarius,0.5,0.5,0.0,0.5,0.75,0.0,-0.5,0.5
fact_00276_Carol Dweck,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00286_Amr Diab,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.0
fact_00296_Akbar Hossain,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5
fact_00300_Coco Chanel,0.0,0.25,0.0,0.0,0.0,-0.25,0.0,-0.25
fact_00302_Enamul Haque (engineer),0.5,0.75,0.75,0.25,0.75,-0.25,0.5,-0.75
fact_00304_Abdelhamid Shabana,0.25,0.5,0.5,0.5,0.5,-0.25,0.0,-0.25
fact_00307_Abdullahi Mohammad Ahmad Hassan,0.5,0.25,1.0,0.5,0.5,0.25,0.5,-0.25
fact_00309_Diego Godín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00312_Adel Emam,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,0.5
fact_00315_Billy Conigliaro,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
fact_00316_Arif Mohammad Khan,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
fact_00321_Bob Marley,0.5,0.0,0.0,0.25,0.0,0.5,-0.25,0.75
fact_00328_Dana Ashbrook,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00332_Cha Eun-woo,1.0,0.5,0.75,0.75,0.75,0.5,0.0,0.5
fact_00333_Abdul Halik Hudu,0.25,0.5,0.25,0.5,0.25,-0.25,-0.25,0.0
fact_00335_Carl Braun (obstetrician),0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
fact_00343_Ameyaw Debrah,0.5,0.25,0.5,0.5,0.25,0.25,0.0,0.25
fact_00344_Cleopatra,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00345_Ana Cláudia Bolzan,0.5,0.25,0.5,0.5,0.75,0.25,0.0,0.25
fact_00347_Evgeny Shalunov,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00348_Charles Allen (jurist),0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
fact_00349_Deyverson,0.75,0.25,0.0,0.25,0.25,0.5,-0.25,0.75
fact_00351_Cris Cyborg,0.5,0.25,0.0,0.25,0.25,0.25,-0.25,0.5
fact_00354_Bobby Thomson,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
fact_00356_Eric Winter,1.0,0.25,0.5,1.0,1.0,0.75,-0.5,1.25
fact_00362_Aert van der Neer,0.5,0.0,0.25,0.25,0.0,0.5,0.0,0.5
fact_00364_Blanca Errázuriz,0.75,0.75,0.0,0.25,0.0,0.0,-0.25,0.25
fact_00366_Deitrick Haddon,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
fact_00367_Andreas Ivanschitz,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0
fact_00368_Clancy Brown,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
fact_00371_Carrie Ann Inaba,0.25,0.25,0.0,0.5,0.0,0.0,-0.5,0.5
fact_00374_Cicero,0.0,0.25,0.0,0.0,0.5,-0.25,0.0,-0.25
fact_00376_14th Dalai Lama,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00377_Christian Almeida,1.0,0.5,0.75,0.75,0.25,0.5,0.0,0.5
fact_00378_Arthur Wakefield,0.5,0.5,0.5,0.75,0.75,0.0,-0.25,0.25
fact_00384_Andry Rajoelina,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0
fact_00394_Danny Almonte,0.5,0.5,0.25,0.25,0.75,0.0,0.0,0.0
fact_00396_Andy Middleton,0.75,0.25,0.75,0.75,0.5,0.5,0.0,0.5
fact_00397_Anderson Silva,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00399_Edgar Bennett,0.5,0.5,0.75,0.5,0.5,0.0,0.25,-0.25
fact_00401_Balázs Bekő,0.75,0.5,0.5,0.0,0.0,0.25,0.5,-0.25
fact_00404_Abraham Ancer,1.0,0.5,0.5,0.25,0.5,0.5,0.25,0.25
fact_00418_A. K. Ramanujan,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.0
fact_00420_Carlos Ghosn,0.5,0.5,0.0,0.5,0.0,0.0,-0.5,0.5
fact_00421_Anurag Kashyap,0.25,0.0,0.0,0.5,0.0,0.25,-0.5,0.75
fact_00425_Angela Bairstow,0.75,0.75,0.75,0.75,0.5,0.0,0.0,0.0
fact_00427_Ernestine Eckstein,1.0,0.5,0.5,0.5,0.25,0.5,0.0,0.5
fact_00430_Ezekiel Elliott,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00433_Aaron Burr,0.5,0.5,0.25,0.25,0.25,0.0,0.0,0.0
fact_00444_Charles B. McVay III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00448_Carol Chell,0.75,0.75,0.25,0.5,0.25,0.0,-0.25,0.25
fact_00449_Alen Omić,0.5,0.0,0.25,0.25,0.25,0.5,0.0,0.5
fact_00452_Alice Torriani,0.75,0.75,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00454_Albert Outler,0.5,0.75,0.75,0.5,0.75,-0.25,0.25,-0.5
fact_00459_Felician of Foligno,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00460_Annie Landouw,0.5,0.0,0.0,0.5,0.5,0.5,-0.5,1.0
fact_00462_Bhāskara I,0.0,0.0,0.5,0.25,0.25,0.0,0.25,-0.25
fact_00464_Damon Herriman,0.5,0.75,0.0,0.5,0.0,-0.25,-0.5,0.25
fact_00466_Feroze Gandhi,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
fact_00471_D. B. Nihalsinghe,0.75,0.25,0.5,0.5,0.5,0.5,0.0,0.5
fact_00478_F. Gwynplaine MacIntyre,0.75,0.5,0.25,0.25,0.5,0.25,0.0,0.25
fact_00486_Fidel Castro,0.0,0.5,0.5,0.5,0.0,-0.5,0.0,-0.5
fact_00489_Bir Hambir,0.75,0.5,0.5,0.75,1.0,0.25,-0.25,0.5
fact_00491_Avraham Eilam-Amzallag,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.25
fact_00492_Date Narikuni,1.0,1.0,0.25,0.5,1.0,0.0,-0.25,0.25
fact_00495_Ariel Behar,0.5,0.5,0.0,0.5,0.25,0.0,-0.5,0.5
fact_00498_DeAnna Bennett,0.75,1.0,0.75,0.5,0.25,-0.25,0.25,-0.5
g4fs4z,0.75,0.25,0.25,0.25,0.5,0.5,0.0,0.5
gyp3c3,0.75,0.75,0.75,0.5,0.75,0.0,0.25,-0.25
hmsv36,0.5,0.75,0.5,0.5,0.75,-0.25,0.0,-0.25
hrkod1,0.5,0.25,0.5,0.5,0.25,0.25,0.0,0.25
irdp6g,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
iuj8br,0.5,0.5,0.5,0.75,0.5,0.0,-0.25,0.25
jizn99,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
jjrido,0.75,0.75,0.5,0.5,0.25,0.0,0.0,0.0
llrdyo,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0
lvcurd,0.75,0.5,0.5,0.5,0.25,0.25,0.0,0.25
m70bt5,0.5,0.75,0.5,0.5,0.5,-0.25,0.0,-0.25
mjrz7h,0.75,0.25,0.5,0.5,0.5,0.5,0.0,0.5
neutral_bio_000,0.5,1.0,0.5,0.75,1.0,-0.5,-0.25,-0.25
neutral_bio_001,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.25
neutral_bio_002,1.0,0.25,1.0,0.75,0.5,0.75,0.25,0.5
neutral_bio_003,1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0
neutral_bio_004,0.5,0.75,0.5,0.5,0.5,-0.25,0.0,-0.25
neutral_bio_005,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
neutral_bio_006,0.5,0.25,0.25,0.5,0.25,0.25,-0.25,0.5
neutral_bio_007,0.75,0.25,0.25,0.25,0.25,0.5,0.0,0.5
neutral_bio_008,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0
neutral_bio_009,0.5,0.75,0.75,0.75,0.5,-0.25,0.0,-0.25
neutral_bio_010,0.75,0.0,0.0,0.5,0.5,0.75,-0.5,1.25
neutral_bio_011,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
neutral_bio_012,1.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0
neutral_bio_013,0.5,0.75,0.75,0.75,0.75,-0.25,0.0,-0.25
neutral_bio_014,0.0,0.25,0.25,0.0,0.25,-0.25,0.25,-0.5
neutral_bio_015,0.5,0.25,0.5,0.5,0.0,0.25,0.0,0.25
neutral_bio_016,0.75,0.5,0.5,0.0,0.25,0.25,0.5,-0.25
neutral_bio_017,0.5,0.75,0.5,0.5,0.5,-0.25,0.0,-0.25
neutral_bio_018,0.75,0.5,0.5,1.0,0.5,0.25,-0.5,0.75
