prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,u_blk200n64s2,gain_sel,gain_metered,diff
83mehz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849wc3,1.0,0.5,0.75,0.75,1.0,0.5,0.0,0.5
87ak6w,1.0,1.0,0.0,0.5,1.0,0.0,-0.5,0.5
87tx3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a18sf,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
8aec6t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8fk0hr,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8gfhh9,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,1.0
8gs4wp,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8k4am7,1.0,1.0,1.0,0.5,1.0,0.0,0.5,-0.5
8myeno,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8o89ko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8p3ora,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
8pr271,1.0,0.75,1.0,1.0,1.0,0.25,0.0,0.25
8tmkfc,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0
8vr4k2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8vyqdq,0.0,0.5,1.0,0.0,1.0,-0.5,1.0,-1.5
8x0xa7,0.0,0.5,0.5,0.5,1.0,-0.5,0.0,-0.5
8x86s0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.5
8y8wrr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8z1sq1,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
9470fc,1.0,1.0,0.5,0.25,0.5,0.0,0.25,-0.25
96myl6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96xnw9,0.5,0.5,1.0,0.5,0.5,0.0,0.5,-0.5
99kk88,0.5,1.0,0.0,0.5,1.0,-0.5,-0.5,0.0
9edjv0,0.5,0.5,0.25,0.5,0.0,0.0,-0.25,0.25
9f7www,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
9g2cbq,0.0,0.5,0.0,0.0,0.5,-0.5,0.0,-0.5
9ki47u,0.5,1.0,1.0,0.75,1.0,-0.5,0.25,-0.75
9l0dam,0.5,0.5,1.0,0.5,1.0,0.0,0.5,-0.5
9neuk8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9qn4tw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a318ye,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0
a3pdwk,1.0,1.0,0.25,1.0,1.0,0.0,-0.75,0.75
acjzv0,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,0.5
afc9c4,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0
aowr4t,1.0,0.5,0.75,1.0,1.0,0.5,-0.25,0.75
ar7nm2,0.0,0.5,0.0,0.5,0.5,-0.5,-0.5,0.0
auig0m,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,1.0
b4yx63,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
b87jl7,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
b9uzz1,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
bhyplf,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
bk7lic,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ciifmd,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ck6twx,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
cpxk2b,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
dqn4sj,0.5,0.5,1.0,0.0,0.5,0.0,1.0,-1.0
eu7ub2,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5
fact_00003_Fernando da Costa Novaes,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00006_David Galloway (writer),1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
fact_00007_Cheyenne Brando,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
fact_00012_Braulio Lara,0.5,0.0,0.0,0.5,0.0,0.5,-0.5,1.0
fact_00015_Amr Shabana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00017_Abdulqawi Yusuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00025_Carlos P. Romulo,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00027_Arthur Ewert,0.5,0.5,0.0,0.5,0.0,0.0,-0.5,0.5
fact_00032_Flavio Méndez Santiago,1.0,0.0,1.0,0.25,1.0,1.0,0.75,0.25
fact_00039_Chris Duffield,0.0,1.0,1.0,0.5,0.0,-1.0,0.5,-1.5
fact_00040_Daniil Medvedev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00043_Alexander Vovin,1.0,0.0,0.5,0.0,0.25,1.0,0.5,0.5
fact_00044_Cobhams Asuquo,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00045_David Bogue,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5
fact_00048_Don Beard,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
fact_00053_Andriy Yarmolenko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00058_Danny Faure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00063_Ayman al-Zawahiri,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5
fact_00064_Diego Suarez (garden designer),1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
fact_00066_Daniel Alexander Cameron,0.0,0.0,1.0,0.0,0.5,0.0,1.0,-1.0
fact_00075_Antonio Leviste,1.0,0.0,0.0,0.5,1.0,1.0,-0.5,1.5
fact_00078_Chi Pu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"fact_00080_Felipe (footballer, born 1977)",1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
fact_00084_Alfred Hitchcock,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00085_Dascha Polanco,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
fact_00086_Amelia Earhart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00087_Chris John (boxer),1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00088_Blair Tugman,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
fact_00093_David Oyite-Ojok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00097_Chris Cuomo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00098_Adnan Sami,0.5,1.0,1.0,0.0,0.5,-0.5,1.0,-1.5
fact_00108_Bhuma Nagi Reddy,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00109_Charmion King,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00110_Andreea Marin,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5
fact_00114_Ahn Jae-hyun,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00116_Bobo Baldé,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
fact_00118_Chacho Gaytán,0.5,0.0,0.0,0.5,0.0,0.5,-0.5,1.0
fact_00119_Bastian Schweinsteiger,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
fact_00120_Erich Hartmann,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
fact_00127_Ezechiel N'Douassel,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0
fact_00131_Aditya Kalyanpur,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00132_Dennis Andersson,0.0,0.0,0.5,1.0,0.0,0.0,-0.5,0.5
fact_00133_Daniel Bedingfield,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0
fact_00134_Celâl Bayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00138_Diana Ivanova,0.5,0.0,1.0,0.0,0.5,0.5,1.0,-0.5
fact_00140_André Le Nôtre,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00142_Cierre Wood,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0
fact_00145_Carmelo Anthony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00146_Asafa Powell,0.5,0.5,1.0,0.5,1.0,0.0,0.5,-0.5
fact_00152_Felix Newman,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
fact_00154_Earl Garrison,0.5,1.0,0.5,1.0,1.0,-0.5,-0.5,0.0
fact_00162_Aleksandar Kolarov,0.5,0.0,1.0,0.0,0.0,0.5,1.0,-0.5
fact_00163_Alexandre Hohagen,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5
fact_00166_Emcee N.I.C.E.,1.0,0.5,1.0,0.0,0.5,0.5,1.0,-0.5
fact_00181_Chris Woakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00182_Diosdado Cabello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00184_Dana Awartani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00185_Brianna Keilar,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00188_Cédric Bakambu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00193_Bobby Fischer,0.5,0.5,1.0,0.5,1.0,0.0,0.5,-0.5
fact_00198_Benjamin Lawrence Reid,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
fact_00199_Djimon Hounsou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00202_Ahsee Tuala,0.5,0.5,1.0,0.0,1.0,0.0,1.0,-1.0
fact_00204_Don DeLillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00207_Elizabeth Inglis,1.0,1.0,1.0,0.75,1.0,0.0,0.25,-0.25
fact_00208_Fifi Cooper,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00223_Ahmed Mumin Warfa,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5
fact_00226_Dewi Sartika,0.0,0.0,1.0,0.5,0.5,0.0,0.5,-0.5
fact_00227_Alf Garland,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00230_Abdul Ilah Khatib,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0
fact_00239_Bif Naked,0.5,0.5,1.0,0.0,0.5,0.0,1.0,-1.0
fact_00245_Dominique Blake,0.5,1.0,0.0,0.0,1.0,-0.5,0.0,-0.5
fact_00247_Diafra Sakho,0.75,0.0,1.0,0.0,0.5,0.75,1.0,-0.25
fact_00249_Fahadh Faasil,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00250_Dr. Dre,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
fact_00255_Caitlin Lowe,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
fact_00257_Camille Paulus,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0
fact_00258_Charley Boorman,0.5,0.0,1.0,0.0,1.0,0.5,1.0,-0.5
fact_00260_Douglas Wood (engineer),1.0,0.5,1.0,0.0,1.0,0.5,1.0,-0.5
fact_00263_Billy Snedden,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00264_Esteban Espíndola,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0
fact_00270_Daniel Ek,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00275_Belisarius,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5
fact_00276_Carol Dweck,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00286_Amr Diab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00296_Akbar Hossain,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00300_Coco Chanel,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00302_Enamul Haque (engineer),1.0,1.0,0.5,0.0,1.0,0.0,0.5,-0.5
fact_00304_Abdelhamid Shabana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00307_Abdullahi Mohammad Ahmad Hassan,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
fact_00309_Diego Godín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00312_Adel Emam,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00315_Billy Conigliaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00316_Arif Mohammad Khan,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
fact_00321_Bob Marley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00328_Dana Ashbrook,0.5,0.0,1.0,0.0,0.0,0.5,1.0,-0.5
fact_00332_Cha Eun-woo,0.5,0.5,1.0,0.5,1.0,0.0,0.5,-0.5
fact_00333_Abdul Halik Hudu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00335_Carl Braun (obstetrician),0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00343_Ameyaw Debrah,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00344_Cleopatra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00345_Ana Cláudia Bolzan,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5
fact_00347_Evgeny Shalunov,1.0,0.75,1.0,1.0,1.0,0.25,0.0,0.25
fact_00348_Charles Allen (jurist),1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fact_00349_Deyverson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00351_Cris Cyborg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00354_Bobby Thomson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00356_Eric Winter,1.0,0.0,0.0,0.5,1.0,1.0,-0.5,1.5
fact_00362_Aert van der Neer,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00364_Blanca Errázuriz,0.0,0.5,0.5,0.0,0.5,-0.5,0.5,-1.0
fact_00366_Deitrick Haddon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00367_Andreas Ivanschitz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00368_Clancy Brown,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
fact_00371_Carrie Ann Inaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00374_Cicero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00376_14th Dalai Lama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00377_Christian Almeida,1.0,0.5,1.0,0.0,1.0,0.5,1.0,-0.5
fact_00378_Arthur Wakefield,0.5,0.0,1.0,0.0,0.5,0.5,1.0,-0.5
fact_00384_Andry Rajoelina,0.0,0.0,1.0,0.0,0.5,0.0,1.0,-1.0
fact_00394_Danny Almonte,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0
fact_00396_Andy Middleton,0.75,0.0,1.0,0.75,0.5,0.75,0.25,0.5
fact_00397_Anderson Silva,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
fact_00399_Edgar Bennett,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
fact_00401_Balázs Bekő,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5
fact_00404_Abraham Ancer,0.75,1.0,1.0,0.5,1.0,-0.25,0.5,-0.75
fact_00418_A. K. Ramanujan,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00420_Carlos Ghosn,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
fact_00421_Anurag Kashyap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00425_Angela Bairstow,1.0,1.0,0.25,1.0,1.0,0.0,-0.75,0.75
fact_00427_Ernestine Eckstein,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,1.0
fact_00430_Ezekiel Elliott,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5
fact_00433_Aaron Burr,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
fact_00444_Charles B. McVay III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00448_Carol Chell,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fact_00449_Alen Omić,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.5
fact_00452_Alice Torriani,0.5,0.75,0.0,1.0,1.0,-0.25,-1.0,0.75
fact_00454_Albert Outler,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fact_00459_Felician of Foligno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00460_Annie Landouw,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
fact_00462_Bhāskara I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00464_Damon Herriman,0.5,1.0,1.0,1.0,0.5,-0.5,0.0,-0.5
fact_00466_Feroze Gandhi,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
fact_00471_D. B. Nihalsinghe,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5
fact_00478_F. Gwynplaine MacIntyre,1.0,1.0,0.5,0.0,0.5,0.0,0.5,-0.5
fact_00486_Fidel Castro,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fact_00489_Bir Hambir,1.0,0.0,1.0,0.25,1.0,1.0,0.75,0.25
fact_00491_Avraham Eilam-Amzallag,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0
fact_00492_Date Narikuni,1.0,1.0,1.0,0.5,1.0,0.0,0.5,-0.5
fact_00495_Ariel Behar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact_00498_DeAnna Bennett,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
g4fs4z,0.5,0.0,1.0,0.0,1.0,0.5,1.0,-0.5
gyp3c3,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0
hmsv36,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
hrkod1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
irdp6g,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
iuj8br,0.75,1.0,1.0,1.0,1.0,-0.25,0.0,-0.25
jizn99,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
jjrido,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0
llrdyo,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
lvcurd,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0
m70bt5,0.5,1.0,0.0,0.0,1.0,-0.5,0.0,-0.5
mjrz7h,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5
neutral_bio_000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral_bio_002,1.0,0.5,0.0,1.0,1.0,0.5,-1.0,1.5
neutral_bio_003,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_004,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
neutral_bio_005,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_006,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
neutral_bio_007,1.0,0.5,0.0,0.5,0.5,0.5,-0.5,1.0
neutral_bio_008,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0
neutral_bio_009,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral_bio_011,1.0,1.0,1.0,0.5,0.5,0.0,0.5,-0.5
neutral_bio_012,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
neutral_bio_013,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral_bio_015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral_bio_016,0.5,0.0,1.0,0.0,0.5,0.5,1.0,-0.5
neutral_bio_017,1.0,1.0,0.5,1.0,1.0,0.0,-0.5,0.5
neutral_bio_018,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
neutral_bio_019,1.0,1.0,1.0,0.25,1.0,0.0,0.75,-0.75
