prompt_id,u_sel_n64,u_sel_n1,u_metered_k1,u_anchor_k0,gain_sel,gain_metered,diff
mtbench_134,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_135,1.0,1.0,1.0,1.0,0.0,0.0,0.0
mtbench_136,1.0,1.0,1.0,1.0,0.0,0.0,0.0
mtbench_137,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_138,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_140,1.0,0.5,0.5,0.5,0.5,0.0,0.5
mtbench_141,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_143,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_144,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_145,1.0,0.5,1.0,0.5,0.5,0.5,0.0
mtbench_146,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_147,0.5,0.5,1.0,0.5,0.0,0.5,-0.5
mtbench_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_149,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
mtbench_150,1.0,1.0,1.0,1.0,0.0,0.0,0.0
mtbench_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_153,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_154,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_155,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_156,0.5,0.5,0.0,0.5,0.0,-0.5,0.5
mtbench_157,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_158,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_159,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_160,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_82,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_83,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_84,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_85,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_86,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_87,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_88,0.5,0.0,0.0,0.0,0.5,0.0,0.5
mtbench_89,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_90,0.0,0.5,0.0,0.5,-0.5,-0.5,0.0
mtbench_91,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_92,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_95,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_97,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_98,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_99,0.5,0.0,0.5,0.0,0.5,0.5,0.0
