judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,alpaca_0039,0.0,0.0,0.0,0.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0040,0.5,0.5,1.0,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0041,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0042,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0043,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0044,0.5,0.5,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0045,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0046,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0048,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0050,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0051,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0052,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0053,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0055,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0056,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0057,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0058,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0060,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0062,0.5,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0063,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0064,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0066,0.5,0.5,0.5,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0070,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0071,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0073,0.0,0.0,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0074,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0076,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0079,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0080,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0082,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0083,0.5,1.0,1.0,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0084,0.5,0.5,0.5,1.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0085,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0087,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0088,0.5,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0089,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0090,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0091,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0096,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0098,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0100,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0101,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0102,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0103,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0105,0.0,0.5,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0106,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0107,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0109,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0110,1.0,1.0,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0112,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0115,0.5,0.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0117,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0120,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0121,1.0,1.0,1.0,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0122,0.0,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0125,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0129,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0130,0.5,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0131,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0132,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0133,0.0,0.5,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0134,0.0,0.0,1.0,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0135,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0136,1.0,1.0,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0137,1.0,1.0,0.0,0.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0138,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0139,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0140,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0141,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0142,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0143,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0144,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0146,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0147,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0148,0.5,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0149,0.5,1.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0150,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0151,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0152,0.5,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0153,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0155,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0156,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0158,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0159,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0161,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0162,0.5,0.5,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0164,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0165,0.0,0.0,0.5,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0167,1.0,1.0,1.0,1.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0168,0.5,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0169,0.5,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0170,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0172,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0173,0.5,0.5,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0174,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0175,1.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0176,0.0,0.5,0.5,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0177,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0178,0.0,0.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0179,0.0,0.5,0.5,0.5,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0180,0.0,1.0,0.0,0.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0182,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0183,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0184,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0185,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0186,0.0,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0187,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0188,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0190,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0192,0.0,0.0,0.0,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0194,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0195,0.0,0.0,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0196,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0197,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0199,0.5,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0200,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0201,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0202,0.5,1.0,1.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0203,0.5,0.0,0.5,0.5,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0205,0.5,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0206,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0207,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0208,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0211,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0212,0.0,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0213,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0214,0.5,0.5,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0215,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0216,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0217,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0218,0.5,0.5,0.5,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0219,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0220,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0221,0.5,0.5,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0222,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0223,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0224,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0225,0.5,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0226,0.5,0.5,0.5,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0227,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0230,0.5,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0231,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0232,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0233,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0234,0.0,0.0,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0235,0.5,0.0,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0237,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0239,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0240,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0241,0.5,0.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0242,0.0,0.0,0.5,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0243,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0244,0.0,0.0,0.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0245,1.0,1.0,1.0,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0246,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0247,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0248,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0249,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0251,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0252,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0253,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0254,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0255,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0256,0.5,0.5,1.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0257,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0259,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0260,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0261,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0262,0.5,0.0,0.5,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0263,0.0,0.5,0.5,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0264,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0265,0.0,0.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0266,1.0,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0267,0.5,0.5,1.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0268,1.0,0.5,0.5,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0269,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0270,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0271,0.5,0.5,1.0,1.0,0.0,0.0,0.0
