prompt_id,rank,seed,prompt_class,n_tokens,logp_total,logp_per_token,shown_second,verdict,outcome
5j7ypk,7,3320184839,creative,201,-822.3015,-4.091052,0,A,win
5je6l4,0,3320184832,creative,28,-88.2958,-3.153422,1,B,win
5je6l4,1,3320184833,creative,181,-662.6415,-3.661003,0,B,loss
5je6l4,2,3320184834,creative,202,-980.1191,-4.852075,1,B,win
5je6l4,3,3320184835,creative,105,-438.9433,-4.180412,0,B,loss
5je6l4,4,3320184836,creative,60,-190.6018,-3.176696,0,B,loss
5je6l4,5,3320184837,creative,42,-209.1879,-4.980665,1,B,win
5je6l4,6,3320184838,creative,81,-335.99,-4.148025,0,B,loss
5je6l4,7,3320184839,creative,202,-617.608,-3.057466,0,B,loss
5nc21f,0,3320184832,creative,111,-502.1223,-4.523625,1,B,win
5nc21f,1,3320184833,creative,104,-264.5951,-2.544184,1,B,win
5nc21f,2,3320184834,creative,0,0.0,0.0,0,B,loss
5nc21f,3,3320184835,creative,0,0.0,0.0,0,B,loss
5nc21f,4,3320184836,creative,16,-73.1392,-4.571201,0,B,loss
5nc21f,5,3320184837,creative,200,-825.9828,-4.129914,1,Tie,tie
5nc21f,6,3320184838,creative,200,-752.0648,-3.760324,1,Tie,tie
5nc21f,7,3320184839,creative,0,0.0,0.0,1,B,win
5nzsq6,0,3320184832,creative,35,-101.0661,-2.887602,0,B,loss
5nzsq6,1,3320184833,creative,41,-115.6801,-2.821466,0,B,loss
5nzsq6,2,3320184834,creative,201,-1037.6321,-5.162349,0,B,loss
5nzsq6,3,3320184835,creative,201,-842.7573,-4.192823,1,A,loss
5nzsq6,4,3320184836,creative,2,-4.2773,-2.138635,1,A,loss
5nzsq6,5,3320184837,creative,202,-867.9715,-4.296889,1,A,loss
5nzsq6,6,3320184838,creative,174,-612.2497,-3.518676,0,B,loss
5nzsq6,7,3320184839,creative,14,-53.9925,-3.856608,1,B,win
5ozqb9,0,3320184832,creative,13,-32.2589,-2.481451,0,B,loss
5ozqb9,1,3320184833,creative,27,-67.2229,-2.489736,1,B,win
5ozqb9,2,3320184834,creative,200,-914.3884,-4.571942,0,B,loss
5ozqb9,3,3320184835,creative,81,-154.3542,-1.905607,0,B,loss
5ozqb9,4,3320184836,creative,8,-19.1428,-2.392849,0,B,loss
5ozqb9,5,3320184837,creative,8,-45.4197,-5.677467,0,Tie,tie
5ozqb9,6,3320184838,creative,17,-59.0285,-3.472262,1,B,win
5ozqb9,7,3320184839,creative,58,-132.8168,-2.289945,0,B,loss
5qf97d,0,3320184832,creative,0,0.0,0.0,0,B,loss
5qf97d,1,3320184833,creative,17,-87.3283,-5.136959,0,B,loss
5qf97d,2,3320184834,creative,110,-567.5091,-5.159174,1,B,win
5qf97d,3,3320184835,creative,9,-38.0611,-4.229014,1,B,win
5qf97d,4,3320184836,creative,87,-350.9398,-4.03379,1,B,win
5qf97d,5,3320184837,creative,200,-797.9778,-3.989889,0,A,win
5qf97d,6,3320184838,creative,72,-242.863,-3.373097,1,B,win
5qf97d,7,3320184839,creative,70,-267.1255,-3.816079,1,B,win
5qwzjo,0,3320184832,creative,5,-17.5103,-3.502059,1,A,loss
5qwzjo,1,3320184833,creative,65,-325.7785,-5.011977,1,A,loss
5qwzjo,2,3320184834,creative,36,-142.8437,-3.967881,0,B,loss
5qwzjo,3,3320184835,creative,15,-84.3745,-5.624963,0,B,loss
5qwzjo,4,3320184836,creative,5,-17.5103,-3.502059,1,A,loss
5qwzjo,5,3320184837,creative,37,-168.1094,-4.543497,0,B,loss
5qwzjo,6,3320184838,creative,5,-17.5103,-3.502059,1,A,loss
5qwzjo,7,3320184839,creative,159,-696.202,-4.378629,0,B,loss
5r104c,0,3320184832,creative,19,-106.1592,-5.587325,1,A,loss
5r104c,1,3320184833,creative,202,-333.1765,-1.649389,1,B,win
5r104c,2,3320184834,creative,50,-174.1833,-3.483666,1,A,loss
5r104c,3,3320184835,creative,123,-297.9559,-2.422406,1,B,win
5r104c,4,3320184836,creative,7,-36.7219,-5.245992,1,A,loss
5r104c,5,3320184837,creative,96,-229.9861,-2.395689,0,B,loss
5r104c,6,3320184838,creative,21,-113.7804,-5.418115,1,A,loss
5r104c,7,3320184839,creative,202,-909.2109,-4.501044,1,A,loss
5te65i,0,3320184832,creative,56,-194.5181,-3.473538,1,A,loss
5te65i,1,3320184833,creative,41,-129.4613,-3.157592,1,A,loss
5te65i,2,3320184834,creative,142,-649.8228,-4.576217,1,A,loss
5te65i,3,3320184835,creative,84,-313.829,-3.736059,0,A,win
5te65i,4,3320184836,creative,52,-242.6268,-4.665899,1,A,loss
5te65i,5,3320184837,creative,38,-104.2066,-2.742278,0,B,loss
5te65i,6,3320184838,creative,173,-670.2158,-3.87408,0,B,loss
5te65i,7,3320184839,creative,31,-118.7626,-3.831051,1,A,loss
5umucz,0,3320184832,creative,202,-894.4413,-4.427927,0,B,loss
5umucz,1,3320184833,creative,49,-140.6264,-2.869927,0,B,loss
5umucz,2,3320184834,creative,202,-557.6761,-2.760773,0,B,loss
5umucz,3,3320184835,creative,202,-825.93,-4.088762,0,B,loss
5umucz,4,3320184836,creative,51,-172.8463,-3.389144,0,B,loss
5umucz,5,3320184837,creative,177,-449.2615,-2.5382,1,A,loss
5umucz,6,3320184838,creative,202,-697.9633,-3.455264,1,A,loss
5umucz,7,3320184839,creative,19,-74.5687,-3.92467,0,B,loss
5w4x14,0,3320184832,creative,31,-82.3346,-2.655956,1,A,loss
5w4x14,1,3320184833,creative,0,0.0,0.0,1,A,loss
5w4x14,2,3320184834,creative,0,0.0,0.0,0,B,loss
5w4x14,3,3320184835,creative,13,-71.604,-5.508001,0,B,loss
5w4x14,4,3320184836,creative,45,-165.1961,-3.671024,0,B,loss
5w4x14,5,3320184837,creative,200,-823.2952,-4.116476,0,B,loss
5w4x14,6,3320184838,creative,199,-805.8961,-4.049729,0,B,loss
5w4x14,7,3320184839,creative,60,-279.7748,-4.662913,1,B,win
609k0n,0,3320184832,creative,175,-518.3394,-2.961939,0,B,loss
609k0n,1,3320184833,creative,2,-15.1957,-7.597867,1,B,win
609k0n,2,3320184834,creative,2,-15.1957,-7.597867,0,B,loss
609k0n,3,3320184835,creative,27,-180.395,-6.681298,1,Tie,tie
609k0n,4,3320184836,creative,39,-225.8254,-5.790396,1,B,win
609k0n,5,3320184837,creative,31,-87.3696,-2.818374,0,A,win
609k0n,6,3320184838,creative,22,-110.2689,-5.012223,1,B,win
609k0n,7,3320184839,creative,26,-160.3839,-6.168611,0,B,loss
625es0,0,3320184832,creative,40,-97.8745,-2.446864,0,A,win
625es0,1,3320184833,creative,202,-1198.3394,-5.932373,1,A,loss
625es0,2,3320184834,creative,19,-77.0057,-4.052929,1,A,loss
625es0,3,3320184835,creative,38,-211.7962,-5.573584,1,B,win
625es0,4,3320184836,creative,78,-308.0213,-3.948991,1,Tie,tie
625es0,5,3320184837,creative,31,-117.9156,-3.803729,0,B,loss
625es0,6,3320184838,creative,57,-157.7586,-2.767694,0,B,loss
625es0,7,3320184839,creative,98,-423.4257,-4.320671,0,B,loss
63dn97,0,3320184832,creative,192,-648.1112,-3.375579,0,B,loss
63dn97,1,3320184833,creative,121,-569.1478,-4.703701,1,B,win
63dn97,2,3320184834,creative,60,-185.0345,-3.083909,1,A,loss
63dn97,3,3320184835,creative,165,-551.7619,-3.344012,1,B,win
63dn97,4,3320184836,creative,113,-423.6002,-3.748675,1,B,win
63dn97,5,3320184837,creative,130,-516.5,-3.973077,0,B,loss
63dn97,6,3320184838,creative,204,-885.037,-4.338417,0,B,loss
63dn97,7,3320184839,creative,204,-858.6079,-4.208862,0,B,loss
63ku7q,0,3320184832,creative,90,-385.5034,-4.283371,0,B,loss
63ku7q,1,3320184833,creative,202,-719.3116,-3.560948,0,B,loss
63ku7q,2,3320184834,creative,129,-389.731,-3.021171,1,B,win
63ku7q,3,3320184835,creative,202,-769.6776,-3.810285,0,B,loss
63ku7q,4,3320184836,creative,59,-260.2342,-4.410748,1,B,win
63ku7q,5,3320184837,creative,202,-618.0736,-3.05977,0,B,loss
63ku7q,6,3320184838,creative,202,-361.4291,-1.789253,1,A,loss
63ku7q,7,3320184839,creative,202,-787.9246,-3.900617,0,B,loss
64c0w6,0,3320184832,creative,203,-545.6497,-2.687929,0,B,loss
64c0w6,1,3320184833,creative,203,-798.2807,-3.932417,1,B,win
64c0w6,2,3320184834,creative,3,-5.3957,-1.798571,0,B,loss
64c0w6,3,3320184835,creative,66,-227.8551,-3.45235,0,B,loss
64c0w6,4,3320184836,creative,117,-230.925,-1.973718,0,B,loss
64c0w6,5,3320184837,creative,46,-223.2968,-4.854279,0,B,loss
64c0w6,6,3320184838,creative,88,-372.7343,-4.235617,1,B,win
64c0w6,7,3320184839,creative,121,-334.9025,-2.767789,0,B,loss
65458n,0,3320184832,creative,200,-832.0588,-4.160294,1,B,win
65458n,1,3320184833,creative,200,-857.5189,-4.287595,1,B,win
65458n,2,3320184834,creative,78,-233.1824,-2.989517,0,B,loss
65458n,3,3320184835,creative,200,-363.2118,-1.816059,0,B,loss
65458n,4,3320184836,creative,8,-19.5637,-2.445467,1,B,win
65458n,5,3320184837,creative,43,-194.916,-4.53293,0,B,loss
65458n,6,3320184838,creative,113,-459.7589,-4.068662,0,B,loss
65458n,7,3320184839,creative,14,-62.5936,-4.470969,1,B,win
66uo64,0,3320184832,creative,86,-333.6286,-3.879402,0,A,win
66uo64,1,3320184833,creative,203,-855.6237,-4.214895,1,B,win
66uo64,2,3320184834,creative,202,-884.8779,-4.380584,1,A,loss
66uo64,3,3320184835,creative,199,-769.0255,-3.86445,0,A,win
66uo64,4,3320184836,creative,159,-340.1693,-2.13943,0,A,win
66uo64,5,3320184837,creative,190,-675.7759,-3.556715,0,A,win
66uo64,6,3320184838,creative,144,-495.7455,-3.442677,0,B,loss
66uo64,7,3320184839,creative,142,-517.3403,-3.643242,1,B,win
68f5c5,0,3320184832,creative,5,-6.2931,-1.258624,0,A,win
68f5c5,1,3320184833,creative,65,-247.7712,-3.811865,0,A,win
68f5c5,2,3320184834,creative,206,-970.575,-4.711529,0,Tie,tie
68f5c5,3,3320184835,creative,205,-694.2711,-3.386688,0,B,loss
68f5c5,4,3320184836,creative,205,-832.0911,-4.058981,1,A,loss
68f5c5,5,3320184837,creative,5,-6.2931,-1.258624,1,A,loss
68f5c5,6,3320184838,creative,5,-6.2931,-1.258624,0,A,win
68f5c5,7,3320184839,creative,5,-6.2931,-1.258624,0,A,win
68ykga,0,3320184832,creative,94,-467.0258,-4.96836,0,A,win
68ykga,1,3320184833,creative,205,-862.7085,-4.208334,0,B,loss
68ykga,2,3320184834,creative,205,-928.7974,-4.530719,0,B,loss
68ykga,3,3320184835,creative,145,-628.6114,-4.335251,1,B,win
68ykga,4,3320184836,creative,5,-23.5529,-4.710571,1,B,win
68ykga,5,3320184837,creative,205,-894.5244,-4.363534,0,B,loss
68ykga,6,3320184838,creative,125,-243.1223,-1.944978,1,B,win
68ykga,7,3320184839,creative,205,-933.2377,-4.552379,0,A,win
69dzba,0,3320184832,creative,2,-7.0612,-3.530595,0,B,loss
69dzba,1,3320184833,creative,2,-7.0612,-3.530595,1,A,loss
69dzba,2,3320184834,creative,2,-7.0612,-3.530595,1,A,loss
69dzba,3,3320184835,creative,50,-238.7887,-4.775775,1,A,loss
69dzba,4,3320184836,creative,36,-178.5455,-4.959596,1,A,loss
69dzba,5,3320184837,creative,2,-7.0612,-3.530595,1,A,loss
69dzba,6,3320184838,creative,2,-7.0612,-3.530595,1,A,loss
69dzba,7,3320184839,creative,2,-7.0612,-3.530595,0,B,loss
6d1iqq,0,3320184832,creative,140,-576.6685,-4.11906,1,A,loss
6d1iqq,1,3320184833,creative,17,-76.3426,-4.490739,0,B,loss
6d1iqq,2,3320184834,creative,201,-798.3724,-3.972002,0,B,loss
6d1iqq,3,3320184835,creative,80,-381.3433,-4.766791,0,B,loss
6d1iqq,4,3320184836,creative,201,-860.877,-4.28297,0,B,loss
6d1iqq,5,3320184837,creative,73,-337.5228,-4.6236,0,B,loss
6d1iqq,6,3320184838,creative,201,-758.4093,-3.773181,1,A,loss
6d1iqq,7,3320184839,creative,37,-146.8813,-3.969765,1,A,loss
6eytds,0,3320184832,creative,17,-105.1803,-6.187074,1,B,win
6eytds,1,3320184833,creative,39,-154.2781,-3.955849,0,B,loss
6eytds,2,3320184834,creative,31,-99.86,-3.22129,1,B,win
6eytds,3,3320184835,creative,202,-700.66,-3.468614,1,B,win
6eytds,4,3320184836,creative,29,-89.3132,-3.079767,0,A,win
6eytds,5,3320184837,creative,104,-472.4911,-4.543184,0,A,win
6eytds,6,3320184838,creative,81,-135.8992,-1.677768,0,B,loss
6eytds,7,3320184839,creative,88,-368.792,-4.190818,0,A,win
6gl289,0,3320184832,creative,0,0.0,0.0,1,B,win
6gl289,1,3320184833,creative,138,-188.5744,-1.366481,0,B,loss
6gl289,2,3320184834,creative,200,-882.1079,-4.41054,0,B,loss
6gl289,3,3320184835,creative,65,-307.2064,-4.726252,1,B,win
6gl289,4,3320184836,creative,200,-899.9462,-4.499731,0,B,loss
6gl289,5,3320184837,creative,44,-171.6667,-3.901517,1,B,win
6gl289,6,3320184838,creative,88,-107.3261,-1.219614,0,B,loss
6gl289,7,3320184839,creative,141,-464.6815,-3.295614,1,A,loss
6hoxmq,0,3320184832,creative,124,-524.188,-4.227322,1,B,win
6hoxmq,1,3320184833,creative,72,-206.9881,-2.874835,0,B,loss
6hoxmq,2,3320184834,creative,19,-98.5786,-5.188349,1,Tie,tie
6hoxmq,3,3320184835,creative,203,-873.2828,-4.301886,1,A,loss
6hoxmq,4,3320184836,creative,83,-338.903,-4.083168,1,B,win
6hoxmq,5,3320184837,creative,104,-567.5016,-5.456747,0,B,loss
6hoxmq,6,3320184838,creative,31,-115.5318,-3.726833,1,A,loss
6hoxmq,7,3320184839,creative,203,-703.4939,-3.465487,0,B,loss
6imc4i,0,3320184832,creative,86,-320.4279,-3.725906,0,B,loss
6imc4i,1,3320184833,creative,164,-635.5795,-3.875485,0,A,win
6imc4i,2,3320184834,creative,200,-792.463,-3.962315,0,B,loss
6imc4i,3,3320184835,creative,193,-656.1776,-3.399884,0,Tie,tie
6imc4i,4,3320184836,creative,183,-590.4583,-3.226548,1,A,loss
6imc4i,5,3320184837,creative,162,-852.8626,-5.264584,1,A,loss
6imc4i,6,3320184838,creative,67,-273.7418,-4.085698,0,Tie,tie
6imc4i,7,3320184839,creative,172,-642.1743,-3.733571,0,B,loss
6isay3,0,3320184832,creative,0,0.0,0.0,0,B,loss
6isay3,1,3320184833,creative,200,-942.1515,-4.710757,1,A,loss
6isay3,2,3320184834,creative,129,-656.139,-5.086349,0,B,loss
6isay3,3,3320184835,creative,9,-57.7037,-6.411517,0,B,loss
6isay3,4,3320184836,creative,187,-231.9952,-1.240616,0,B,loss
6isay3,5,3320184837,creative,200,-758.4333,-3.792166,0,B,loss
6isay3,6,3320184838,creative,72,-266.1998,-3.697219,1,B,win
6isay3,7,3320184839,creative,200,-700.1312,-3.500656,1,B,win
6ixx9u,0,3320184832,creative,155,-568.6064,-3.668429,1,Tie,tie
6ixx9u,1,3320184833,creative,200,-718.5247,-3.592624,0,B,loss
6ixx9u,2,3320184834,creative,50,-71.9081,-1.438163,1,A,loss
6ixx9u,3,3320184835,creative,133,-552.1707,-4.151659,0,B,loss
6ixx9u,4,3320184836,creative,13,-49.47,-3.805385,0,B,loss
6ixx9u,5,3320184837,creative,35,-148.7563,-4.250181,0,B,loss
6ixx9u,6,3320184838,creative,170,-743.7396,-4.374939,0,A,win
6ixx9u,7,3320184839,creative,199,-1053.7329,-5.29514,0,Tie,tie
6k8gdu,0,3320184832,creative,127,-284.4696,-2.239918,0,Tie,tie
6k8gdu,1,3320184833,creative,63,-185.3693,-2.94237,0,Tie,tie
6k8gdu,2,3320184834,creative,78,-314.2622,-4.029003,0,Tie,tie
6k8gdu,3,3320184835,creative,192,-499.0167,-2.599045,0,Tie,tie
6k8gdu,4,3320184836,creative,203,-613.0695,-3.020047,0,Tie,tie
6k8gdu,5,3320184837,creative,69,-204.8127,-2.9683,1,B,win
6k8gdu,6,3320184838,creative,203,-736.1709,-3.626458,1,Tie,tie
6k8gdu,7,3320184839,creative,185,-384.1687,-2.076588,0,Tie,tie
6l6v6l,0,3320184832,creative,147,-349.661,-2.378647,0,B,loss
6l6v6l,1,3320184833,creative,185,-822.1062,-4.443817,0,B,loss
6l6v6l,2,3320184834,creative,0,0.0,0.0,1,Tie,tie
6l6v6l,3,3320184835,creative,0,0.0,0.0,0,B,loss
6l6v6l,4,3320184836,creative,46,-134.3007,-2.91958,1,B,win
6l6v6l,5,3320184837,creative,66,-271.6015,-4.115175,0,B,loss
6l6v6l,6,3320184838,creative,125,-592.8412,-4.742729,1,Tie,tie
6l6v6l,7,3320184839,creative,200,-529.9738,-2.649869,0,B,loss
6m7z8a,0,3320184832,creative,200,-819.1884,-4.095942,1,B,win
6m7z8a,1,3320184833,creative,23,-103.0395,-4.479978,0,B,loss
6m7z8a,2,3320184834,creative,200,-931.09,-4.65545,1,B,win
6m7z8a,3,3320184835,creative,104,-256.5696,-2.467015,0,A,win
6m7z8a,4,3320184836,creative,13,-46.645,-3.58808,0,B,loss
6m7z8a,5,3320184837,creative,200,-843.682,-4.21841,1,B,win
6m7z8a,6,3320184838,creative,200,-797.1877,-3.985938,0,B,loss
6m7z8a,7,3320184839,creative,200,-953.5475,-4.767737,1,B,win
6mztko,0,3320184832,creative,47,-155.6086,-3.310822,1,B,win
6mztko,1,3320184833,creative,60,-255.5596,-4.259327,0,B,loss
6mztko,2,3320184834,creative,105,-571.8518,-5.446208,0,B,loss
6mztko,3,3320184835,creative,46,-205.8476,-4.474948,1,B,win
6mztko,4,3320184836,creative,5,-24.6709,-4.93418,1,B,win
6mztko,5,3320184837,creative,3,-8.4359,-2.811973,0,Tie,tie
6mztko,6,3320184838,creative,3,-8.4359,-2.811973,0,Tie,tie
6mztko,7,3320184839,creative,3,-8.4359,-2.811973,0,Tie,tie
6o18uh,0,3320184832,creative,40,-163.1958,-4.079895,1,Tie,tie
6o18uh,1,3320184833,creative,41,-113.8951,-2.77793,1,B,win
6o18uh,2,3320184834,creative,116,-332.7535,-2.868565,0,A,win
6o18uh,3,3320184835,creative,205,-689.2612,-3.36225,1,A,loss
6o18uh,4,3320184836,creative,77,-163.8345,-2.12772,1,B,win
6o18uh,5,3320184837,creative,79,-152.739,-1.933404,0,A,win
6o18uh,6,3320184838,creative,65,-214.4916,-3.29987,1,A,loss
6o18uh,7,3320184839,creative,81,-267.1151,-3.297717,1,A,loss
6o679d,0,3320184832,creative,11,-39.2487,-3.568067,0,B,loss
6o679d,1,3320184833,creative,4,-28.2388,-7.059694,1,A,loss
6o679d,2,3320184834,creative,24,-74.5067,-3.104445,1,A,loss
6o679d,3,3320184835,creative,141,-499.8748,-3.545211,1,A,loss
