judge,prompt_id,u_n1,u_n2,u_n4,u_n8
Phi-3.5-mini-instruct,alpaca_0063,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0064,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0065,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0066,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0067,0.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0068,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0069,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0070,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0071,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0072,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0073,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0074,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0075,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0076,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0077,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0078,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0079,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0080,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0081,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0082,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0083,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0084,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0085,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0086,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0087,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0088,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0089,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0090,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0091,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0092,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0093,0.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0094,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0095,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0096,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0097,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0098,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0099,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0100,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0101,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0102,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0103,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0104,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0105,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0106,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0107,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0108,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0109,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0110,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0111,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0112,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0113,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0114,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0115,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0116,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0117,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0118,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0119,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0120,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0121,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0122,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0123,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0124,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0125,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0126,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0127,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0128,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0129,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0130,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0131,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0132,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0133,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0134,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0135,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0136,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0137,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0138,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0139,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0140,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0141,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0142,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0143,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0144,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0145,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0146,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0147,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0148,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0149,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0150,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0151,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0152,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0153,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0154,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0155,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0156,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0157,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0158,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0159,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0160,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0161,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0162,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0163,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0164,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0165,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0166,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0167,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0168,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0169,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0170,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0171,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0172,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0173,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0174,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0175,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0176,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0177,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0178,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0179,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0180,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0181,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0182,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0183,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0184,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0185,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0186,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0187,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0188,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0189,1.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0190,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0191,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0192,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0193,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0194,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0195,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0196,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0197,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0198,0.5,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0199,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0200,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0201,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0202,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0203,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0204,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0205,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0206,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0207,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0208,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0209,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0210,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0211,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0212,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0213,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0214,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0215,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0216,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0217,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0218,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0219,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0220,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0221,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0222,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0223,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0224,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0225,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0226,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0227,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0228,0.5,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0229,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0230,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0231,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0232,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0233,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0234,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0235,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0236,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0237,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0238,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0239,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0240,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0241,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0242,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0243,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0244,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0245,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0246,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0247,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0248,1.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0249,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0250,0.5,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0251,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0252,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0253,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0254,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0255,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0256,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0257,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0258,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0259,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0260,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0261,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0262,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0263,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0264,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0265,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0266,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0267,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0268,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0269,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0270,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0271,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0272,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0273,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0274,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0275,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0276,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0277,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0278,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0279,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0280,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0281,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0282,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0283,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0284,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0285,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0286,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0287,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0288,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0289,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0290,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0291,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0292,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0293,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0294,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0295,0.0,0.5,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0296,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0297,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0298,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0299,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0300,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0301,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,alpaca_0302,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0303,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0304,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0305,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0306,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0307,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0308,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0309,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0310,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0311,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0312,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0313,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0314,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0315,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0316,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0317,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0318,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0319,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0320,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0321,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0322,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0323,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0324,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0325,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0326,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0327,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0328,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0329,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0330,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0331,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0332,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0333,0.5,0.0,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0334,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0335,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0336,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0337,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0338,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0339,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0340,0.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0341,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0342,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0343,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0344,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,alpaca_0345,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0346,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0347,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0348,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,alpaca_0349,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,alpaca_0350,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,alpaca_0351,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,alpaca_0352,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,alpaca_0353,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,alpaca_0354,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0355,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,alpaca_0356,0.0,0.0,0.5,0.5
