judge,prompt_id,u_n1,u_n2,u_n4,u_n8
Phi-3.5-mini-instruct,76b9gc,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,77dd17,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,796161,1.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,7adktz,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,7bowjq,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,7d0x9k,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,7dcwik,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,7e3im5,0.0,0.0,0.5,1.0
Phi-3.5-mini-instruct,7en7vl,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7ezd5t,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,7gjj2w,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,7h9f8e,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7iltd1,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,7iubwq,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,7jfvx7,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7jqj29,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,7l7e1m,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,7ld0jk,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7lzk5g,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7q0acw,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,7rb6uj,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7rie85,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,7rpy8m,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,7svmp5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7tge90,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,7u04a5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,7uezw8,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,7v8ind,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,80sf6g,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,83mehz,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,849wc3,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,87ak6w,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,87tx3g,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,8a18sf,1.0,0.5,1.0,0.5
Phi-3.5-mini-instruct,8aec6t,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,8fk0hr,1.0,0.5,0.0,0.5
Phi-3.5-mini-instruct,8gfhh9,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8gs4wp,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,8k4am7,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,8myeno,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,8o89ko,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8p3ora,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,8pr271,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8tmkfc,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,8vr4k2,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,8vyqdq,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8x0xa7,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8x86s0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,8y8wrr,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,8z1sq1,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,9470fc,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,96myl6,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,96xnw9,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,99kk88,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9edjv0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9f7www,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,9g2cbq,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,9ki47u,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9l0dam,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,9neuk8,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,9qn4tw,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,a318ye,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,a3pdwk,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,acjzv0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,afc9c4,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,aowr4t,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,ar7nm2,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,auig0m,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,b4yx63,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,b87jl7,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,b9uzz1,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bhyplf,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bk7lic,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,ciifmd,0.5,1.0,0.0,1.0
Phi-3.5-mini-instruct,ck6twx,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,cpxk2b,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,dqn4sj,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,eu7ub2,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00003_Fernando da Costa Novaes,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00006_David Galloway (writer),0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00007_Cheyenne Brando,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00012_Braulio Lara,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00015_Amr Shabana,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00017_Abdulqawi Yusuf,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00025_Carlos P. Romulo,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00027_Arthur Ewert,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00032_Flavio Méndez Santiago,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00039_Chris Duffield,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00040_Daniil Medvedev,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00043_Alexander Vovin,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00044_Cobhams Asuquo,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00045_David Bogue,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00048_Don Beard,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00053_Andriy Yarmolenko,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00058_Danny Faure,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00063_Ayman al-Zawahiri,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00064_Diego Suarez (garden designer),0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00066_Daniel Alexander Cameron,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00075_Antonio Leviste,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00078_Chi Pu,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,"fact_00080_Felipe (footballer, born 1977)",0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00084_Alfred Hitchcock,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00085_Dascha Polanco,0.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00086_Amelia Earhart,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00087_Chris John (boxer),0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00088_Blair Tugman,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00093_David Oyite-Ojok,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00097_Chris Cuomo,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00098_Adnan Sami,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00108_Bhuma Nagi Reddy,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00109_Charmion King,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00110_Andreea Marin,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00114_Ahn Jae-hyun,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00116_Bobo Baldé,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00118_Chacho Gaytán,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00119_Bastian Schweinsteiger,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00120_Erich Hartmann,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00127_Ezechiel N'Douassel,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00131_Aditya Kalyanpur,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00132_Dennis Andersson,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00133_Daniel Bedingfield,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00134_Celâl Bayar,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00138_Diana Ivanova,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00140_André Le Nôtre,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00142_Cierre Wood,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00145_Carmelo Anthony,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00146_Asafa Powell,0.5,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00152_Felix Newman,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00154_Earl Garrison,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00162_Aleksandar Kolarov,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00163_Alexandre Hohagen,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00166_Emcee N.I.C.E.,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00181_Chris Woakes,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00182_Diosdado Cabello,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00184_Dana Awartani,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00185_Brianna Keilar,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00188_Cédric Bakambu,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00193_Bobby Fischer,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00198_Benjamin Lawrence Reid,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00199_Djimon Hounsou,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00202_Ahsee Tuala,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00204_Don DeLillo,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00207_Elizabeth Inglis,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00208_Fifi Cooper,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00223_Ahmed Mumin Warfa,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00226_Dewi Sartika,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00227_Alf Garland,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00230_Abdul Ilah Khatib,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00239_Bif Naked,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00245_Dominique Blake,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00247_Diafra Sakho,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00249_Fahadh Faasil,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00250_Dr. Dre,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00255_Caitlin Lowe,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00257_Camille Paulus,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00258_Charley Boorman,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00260_Douglas Wood (engineer),0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00263_Billy Snedden,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00264_Esteban Espíndola,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00270_Daniel Ek,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00275_Belisarius,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00276_Carol Dweck,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00286_Amr Diab,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00296_Akbar Hossain,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00300_Coco Chanel,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00302_Enamul Haque (engineer),0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00304_Abdelhamid Shabana,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00307_Abdullahi Mohammad Ahmad Hassan,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00309_Diego Godín,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00312_Adel Emam,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00315_Billy Conigliaro,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00316_Arif Mohammad Khan,1.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00321_Bob Marley,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00328_Dana Ashbrook,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00332_Cha Eun-woo,0.5,1.0,0.5,1.0
Phi-3.5-mini-instruct,fact_00333_Abdul Halik Hudu,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00335_Carl Braun (obstetrician),0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00343_Ameyaw Debrah,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00344_Cleopatra,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00345_Ana Cláudia Bolzan,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00347_Evgeny Shalunov,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00348_Charles Allen (jurist),0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00349_Deyverson,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00351_Cris Cyborg,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00354_Bobby Thomson,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00356_Eric Winter,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00362_Aert van der Neer,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00364_Blanca Errázuriz,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00366_Deitrick Haddon,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00367_Andreas Ivanschitz,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00368_Clancy Brown,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00371_Carrie Ann Inaba,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00374_Cicero,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00376_14th Dalai Lama,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00377_Christian Almeida,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00378_Arthur Wakefield,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00384_Andry Rajoelina,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00394_Danny Almonte,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00396_Andy Middleton,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00397_Anderson Silva,0.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,fact_00399_Edgar Bennett,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00401_Balázs Bekő,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00404_Abraham Ancer,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00418_A. K. Ramanujan,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00420_Carlos Ghosn,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00421_Anurag Kashyap,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00425_Angela Bairstow,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00427_Ernestine Eckstein,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00430_Ezekiel Elliott,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00433_Aaron Burr,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00444_Charles B. McVay III,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00448_Carol Chell,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00449_Alen Omić,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00452_Alice Torriani,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00454_Albert Outler,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,fact_00459_Felician of Foligno,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00460_Annie Landouw,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00462_Bhāskara I,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00464_Damon Herriman,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00466_Feroze Gandhi,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00471_D. B. Nihalsinghe,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00478_F. Gwynplaine MacIntyre,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00486_Fidel Castro,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00489_Bir Hambir,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00491_Avraham Eilam-Amzallag,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00492_Date Narikuni,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00495_Ariel Behar,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00498_DeAnna Bennett,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,g4fs4z,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,gyp3c3,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,hmsv36,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,hrkod1,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,irdp6g,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,iuj8br,1.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,jizn99,0.0,0.5,0.0,1.0
Phi-3.5-mini-instruct,jjrido,0.5,0.5,1.0,0.0
Phi-3.5-mini-instruct,llrdyo,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,lvcurd,0.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,m70bt5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,mjrz7h,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,neutral_bio_000,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_001,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_002,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_003,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_004,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_005,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_006,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_007,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_008,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_009,0.0,0.5,0.0,1.0
Phi-3.5-mini-instruct,neutral_bio_010,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_011,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,neutral_bio_012,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_013,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_014,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_015,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_016,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,neutral_bio_017,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_018,0.0,0.0,1.0,0.5
Phi-3.5-mini-instruct,neutral_bio_019,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_020,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_021,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_022,1.0,0.5,1.0,0.0
Phi-3.5-mini-instruct,neutral_bio_023,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_024,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_025,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,neutral_bio_026,0.5,0.0,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_027,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_028,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_029,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_030,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,neutral_bio_031,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_032,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,neutral_bio_033,1.0,1.0,1.0,0.0
